Unnamed: 0,SQ,Ano,densidade_hec,ConcentracaoBOs,EstagioClusterizacao,Startups,UsoeOcupacao_1,UsoeOcupacao_2,UsoeOcupacao_3,EconomiaUrbana,Inovacao_1,Inovacao_2,MobilidadeUrbana_1,MobilidadeUrbana_2,MobilidadeUrbana_3,Usolocal_1,Usolocal_2,DinamicaOcupacao,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
14,001017,2025,55.1053966969448,420.0,1,-4467.242427600947,-37.52141741944385,-56.22453439312967,-2802.426157979334,1180.1156839100595,-895.0664738299055,-16.983291224171154,-96947.45612493884,14751.600755628908,9596.428283936855,-49.36413349486353,-1962.4925608471583,-60.73567739857884,001017,2025,1,1,0.011320108,0.9886784,1.4750846e-06,3.8447245e-10
15,001018,2025,22.5980845340693,18080.0,0,-5118.340964076914,-35.00169318986348,-54.880824149114574,-2923.234100266488,1180.1156839100595,-1300.496029109018,-20.198852659790496,-96947.89025410512,14749.837494099182,9596.566065625906,-47.38329767551672,-1974.689521152375,-60.73863877998674,001018,2025,0,2,0.0008910352,0.01790354,0.971582,0.0096234735
16,001019,2025,51.527330200796,1486448.0,3,-5306.759718297295,1916.1320769465865,-65.0647360635451,-3015.477163608672,7705.541186040466,-1484.864407489223,-21.661123576519604,-80637.33272959851,15855.711233170765,15212.358673508548,1902.545598503926,-2016.726490529133,-59.937940339190426,001019,2025,3,3,0.0003124852,0.0004074802,8.407037e-06,0.9992716
17,001020,2025,76.8126229935179,268416.0,3,-5160.642486432527,29.190716184427053,-51.882769042953925,-3127.388321236854,7705.541186040466,-1418.530974402985,-21.1350168175353,-80638.14763873661,15852.401393507684,15212.61730519283,14.271301377053156,-1956.3423631523629,-56.17560877362286,001020,2025,3,3,0.0010370783,0.21431668,0.03176968,0.7528766
18,001021,2025,77.9340262922286,708480.0,1,-5063.927687599643,-35.70814757786694,-55.72106715107852,-3074.7682200350982,7705.541186040466,-1361.4911099192773,-20.68261963499518,-80637.74647855113,15854.030748034558,15212.489987029876,-49.43045956265831,-2006.6591312722687,-59.683850565787736,001021,2025,1,2,0.00040064304,0.30019385,0.69093466,0.008470891
19,001022,2025,38.0055285141636,38181.0,2,-4984.08585748967,-36.7873242821754,-56.24510406744011,-2975.263585292256,-1739.834844519238,-1281.7001269624943,-20.049777740848224,-114689.266902267,23066.599420228085,6298.22321159776,-49.38424349671242,-2008.0213213331683,-59.723041736402166,001022,2025,2,2,6.5265616e-05,0.009533221,0.9903618,3.9651906e-05
20,001023,2025,96.7596658049224,2391552.0,2,-4825.027998985587,31103.318425637983,-172.68254444074196,-2768.6199732013424,-1739.834844519238,-1154.6622170642224,-19.042208858383937,-117527.18686786476,23666.455688358517,5555.460721483054,31090.09291840946,-1822.49053092952,-57.11755914463591,001023,2025,2,2,0.00017310909,0.085458435,0.91436607,2.3901152e-06
21,001024,2025,54.3093253941102,12765.0,1,-4629.616438211029,-39.04255017220714,-54.58450172283857,-2610.2478193869206,-1739.834844519238,-1026.4734471175952,-18.025512222056864,-117525.56405740153,23673.04690471096,5554.945682218249,-49.97081384742005,-1844.0308718743083,-58.70913089758269,001024,2025,1,1,0.0023865565,0.9968816,0.0007318832,7.6721535e-10
22,001025,2025,54.3093253941102,38727.0,1,-4533.451981318979,-38.94920463503489,-54.36917795620462,-2606.010935189433,-1739.834844519238,-952.1522069160432,-17.43605220186917,-117525.56405740153,23673.04690471096,5554.945682218249,-49.87317745619374,-1853.9856232549787,-58.704539893918856,001025,2025,1,1,0.0051090517,0.9948738,1.7174858e-05,5.8748983e-10
23,001026,2025,53.1769918636642,15648.0,3,-5110.542945530274,226.66139426041332,-58.37357096937728,-2851.6285631682613,7705.541186040466,-1619.4603840748357,-22.72863734324602,-80636.70223856419,15858.272039198117,15212.158571496551,214.6918620625471,-1988.0699180532704,-61.73125167449553,001026,2025,3,1,6.884062e-05,0.9342248,4.666005e-07,0.06570598
