Unnamed: 0,SQ,Ano,densidade_hec,ConcentracaoBOs,EstagioClusterizacao,Startups,UsoeOcupacao,EconomiaUrbana,Inovacao,MobilidadeUrbana,Usolocal,DinamicaOcupacao,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
45,001048,2025,406.650324510892,45584.0,1,-4787.832849557538,-7.80621629777497,7705.541186040466,-1528.7328228834026,-80636.89476460667,-21.23517405874017,-59.27121656313695,001048,2025,1,1,0.0012514008,0.9987233,9.274215e-06,1.5978245e-05
46,001049,2025,7.50971055060987,251685.0,1,-4930.340916766368,2081.202695475876,-1739.834844519238,-1529.9351549017963,-117559.49841176935,2065.841973391686,374.68106464458674,001049,2025,1,1,0.00052141584,0.9983393,0.00052307633,0.0006161853
47,001050,2025,17.1808354217121,1301625.0,1,-4910.226560074676,6038.472210461646,-1739.834844519238,-1431.5287554945198,-117526.64514518714,6025.777019305308,90.53734240970248,001050,2025,1,1,0.000320191,0.9539472,0.045403674,0.0003290259
48,001051,2025,17.1808354217121,2963520.0,2,-4810.976218650758,2267.2316733122666,-1739.834844519238,-1289.2256935531482,-117526.64514518714,2254.8771500322982,-60.19764098425726,001051,2025,2,2,0.0006988559,0.4734645,0.52583575,9.469926e-07
49,001052,2025,21.6536571314209,177714.0,1,-4717.235896968325,528.6099622566169,-1739.834844519238,-1159.1118900825104,-117525.26075241204,517.8324384180803,-60.38874808699781,001052,2025,1,1,0.0023240366,0.9856784,0.011997626,8.613104e-10
50,001053,2025,163.460151994116,776064.0,1,-4778.695029498701,2172.4224104901627,7705.541186040466,-1416.2084508475782,-80637.71984920687,2158.7256082626227,-59.45157672283873,001053,2025,1,1,0.0016401847,0.99508613,0.0032691155,4.55905e-06
51,001054,2025,622.924300666525,61488.0,1,-4884.653012819687,-35.272540171586066,7705.541186040466,-1439.6894047152257,-80638.08180883278,-49.14879621632458,-59.08753794831951,001054,2025,1,1,0.00067262043,0.9945186,0.004762241,4.6552617e-05
52,001055,2025,306.003732919003,96588.0,1,-4942.421791043334,107.82227267208616,7705.541186040466,-1503.3518407363656,-83411.70558641358,94.81340911334354,-60.56058633823984,001055,2025,1,1,0.00032565373,0.99874145,0.00040180015,0.00053107366
53,001056,2025,59.1737091100621,3806.0,1,-4927.54820629568,-31.49903404911912,7705.541186040466,-1490.8479433943676,-80638.18969049904,-45.011284235677365,-60.73863877998674,001056,2025,1,1,0.0003463737,0.9982368,0.0010472826,0.00036966495
54,001057,2025,59.1737091100621,102096.0,1,-4809.307088774225,396.66308571066713,7705.541186040466,-1539.3312744333975,-80638.18969049904,382.8159631950758,-60.25921187221855,001057,2025,1,1,0.0010490356,0.9989108,1.0130657e-05,2.9989393e-05
55,001058,2025,199.695952806301,127575.0,1,-4860.266603594169,531.1314781326054,7705.541186040466,-1624.9594893761582,-82046.63126337001,517.8121649669307,-60.770178339288336,001058,2025,1,1,0.00038392644,0.9994911,4.6626287e-08,0.00012486431
56,001061,2025,7.50971055060987,46488.0,1,-5012.715887823709,159.40000836077547,-1739.834844519238,-1578.9820027360663,-118855.4201017026,145.81363575434952,-61.72545628456372,001061,2025,1,1,0.00038015496,0.99551326,0.00022957094,0.003876926
57,001062,2025,7.50971055060987,77436.0,1,-5089.501244116654,99.54025613463506,-1739.834844519238,-1589.3336750514518,-118855.4201017026,85.91313743636769,-61.59557475567648,001062,2025,1,1,0.00029635,0.928679,0.0022349223,0.0687897
58,001063,2025,7.50971055060987,103491.0,3,-5155.749485792415,72.55712982782137,-1739.834844519238,-1583.4163383544726,-118855.4201017026,58.9696490736543,-61.7321949251365,001063,2025,3,3,0.00026243413,0.4555045,0.006536017,0.5376971
59,001064,2025,7.50971055060987,617220.0,3,-5124.260784335484,864.519492926644,-1739.834844519238,-1553.1315264888822,-117616.39253474204,850.8273407729822,-59.341165352693146,001064,2025,3,1,0.00019674456,0.77519673,0.010510048,0.2140964
60,001065,2025,17.1808354217121,92280.0,1,-4923.307784903311,263.09610364866035,-1739.834844519238,-1395.444253052059,-117526.64514518714,250.95527657546216,-61.73148129036239,001065,2025,1,2,0.00026456758,0.44416028,0.5553183,0.000256846
61,001066,2025,17.1808354217121,32022.0,1,-5010.189225339758,-37.10175518461982,-1739.834844519238,-1442.9693375756428,-117526.64514518714,-49.24136348553714,-61.734335829458814,001066,2025,1,1,0.0002636719,0.7561405,0.23676938,0.006826467
62,001067,2025,17.1808354217121,403368.0,1,-4980.183850203566,2021.021353346434,-1739.834844519238,-1370.2152965786545,-117526.64514518714,2008.849793574689,-60.5837800340058,001067,2025,1,2,0.00020661099,0.19702925,0.8021342,0.0006299492
63,001068,2025,21.6536571314209,83076.0,2,-4850.723788756781,3.621431504171319,-1739.834844519238,-1253.347853365064,-117525.26075241204,-7.075143907077845,-61.56478819930394,001068,2025,2,2,0.0001526584,0.07672437,0.9231225,4.882155e-07
64,001069,2025,62.1270772308473,11295.0,2,-4934.288074192622,-22.424642581705186,-1739.834844519238,-1298.0609286358545,-117526.11674018612,-34.01853086852847,-61.69936772552764,001069,2025,2,2,4.163486e-05,0.013499676,0.98645115,7.537298e-06
65,001070,2025,17.1808354217121,138645.0,1,-5096.341548682216,-37.10792523865391,-1739.834844519238,-1464.1297497968856,-117526.64514518714,-49.27516221069396,-61.7321949251365,001070,2025,1,1,0.00031917304,0.7401485,0.16047384,0.09905854
